CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKCOALINDIA29-MAR-2023,228.9000000,227.1000000,227.1000000,227.0000000,227.0000000,228.4500000,-0.1900000,4.0000000,8400.0000000,2.0000000,1907220.0000000
FUTSTKTITAN29-MAR-2023,2641.9000000,2611.8000000,2611.8000000,2610.0000000,2610.0000000,2607.6000000,-1.2900000,2.0000000,750.0000000,2.0000000,1958175.0000000
FUTSTKTATACHEM29-MAR-2023,953.2500000,0.0000000,0.0000000,0.0000000,,956.7000000,0.3600000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKRAIN23-FEB-2023,172.5000000,177.9000000,181.7000000,177.9000000,180.6500000,180.6500000,4.7200000,64.0000000,122500.0000000,35.0000000,22049300.0000000
FUTSTKLTTS25-JAN-2023,3666.3000000,3709.0000000,3717.0000000,3605.2000000,3697.9500000,3697.9500000,0.8600000,4813.0000000,251000.0000000,1255.0000000,926920540.0000000
FUTSTKMANAPPURAM29-MAR-2023,118.1500000,0.0000000,0.0000000,0.0000000,,121.3000000,2.6600000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKMANAPPURAM25-JAN-2023,117.0000000,117.5000000,120.7500000,116.9000000,120.2000000,120.2000000,2.7300000,6405.0000000,12858000.0000000,2143.0000000,1536452400.0000000
FUTSTKMFSL23-FEB-2023,683.5000000,682.9000000,690.8500000,682.9000000,689.9500000,689.9500000,0.9400000,26.0000000,7800.0000000,12.0000000,5365750.0000000
FUTSTKFSL29-MAR-2023,104.1500000,0.0000000,0.0000000,0.0000000,,105.0500000,0.8600000,2.0000000,0.0000000,0.0000000,0.0000000
FUTSTKBALRAMCHIN29-MAR-2023,403.5500000,404.0000000,404.0000000,404.0000000,404.0000000,405.6500000,0.5200000,2.0000000,1600.0000000,1.0000000,646400.0000000
FUTSTKHDFCLIFE23-FEB-2023,573.9500000,571.0500000,577.9500000,568.7500000,577.5000000,577.5000000,0.6100000,179.0000000,62700.0000000,57.0000000,36015595.0000000
FUTSTKLICHSGFIN23-FEB-2023,417.7500000,417.5000000,428.6500000,416.2000000,427.7000000,427.7000000,2.3800000,117.0000000,126000.0000000,63.0000000,53333300.0000000
FUTSTKSIEMENS29-MAR-2023,2874.7000000,0.0000000,0.0000000,0.0000000,,2874.4500000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKUBL29-MAR-2023,1728.8000000,1684.4500000,1684.4500000,1684.4500000,1684.4500000,1714.2000000,-0.8400000,1.0000000,400.0000000,1.0000000,673780.0000000
FUTSTKL&TFH23-FEB-2023,88.5500000,88.9500000,91.1500000,88.8500000,90.9000000,90.9000000,2.6500000,139.0000000,606832.0000000,68.0000000,54677348.0000000
FUTSTKBEL23-FEB-2023,100.6000000,100.5000000,101.4500000,100.3000000,101.0000000,101.0000000,0.3900000,625.0000000,638400.0000000,112.0000000,64406295.0000000
FUTSTKMOTHERSON29-MAR-2023,75.4500000,77.1000000,77.1500000,77.0000000,77.1000000,77.1000000,2.1800000,6.0000000,33750.0000000,5.0000000,2601112.5000000
FUTSTKGLENMARK23-FEB-2023,429.5500000,427.3500000,433.6500000,423.3500000,431.7500000,431.7500000,0.5100000,115.0000000,53650.0000000,37.0000000,22994970.0000000
FUTSTKPIIND23-FEB-2023,3461.7500000,3463.2000000,3475.0000000,3440.0000000,3449.0000000,3444.5000000,-0.4900000,20.0000000,2000.0000000,8.0000000,6916162.5000000
FUTSTKTVSMOTOR29-MAR-2023,1104.0000000,1078.0000000,1078.0000000,1067.0500000,1069.1000000,1090.5500000,-1.2100000,8.0000000,2800.0000000,4.0000000,2998170.0000000
FUTSTKCOLPAL23-FEB-2023,1552.1000000,1554.0000000,1554.0000000,1534.0000000,1539.7500000,1539.7500000,-0.7900000,63.0000000,10500.0000000,30.0000000,16169632.5000000
FUTSTKMCDOWELL-N29-MAR-2023,892.5500000,884.8000000,884.8000000,882.5500000,882.5500000,883.9000000,-0.9600000,2.0000000,1250.0000000,2.0000000,1104593.7500000
FUTSTKMARUTI25-JAN-2023,8428.3000000,8425.0000000,8479.9000000,8381.1500000,8436.4000000,8436.4000000,0.0900000,27295.0000000,467400.0000000,4674.0000000,3942367815.0000000
FUTSTKASHOKLEY29-MAR-2023,146.2000000,149.3000000,151.0500000,148.5000000,151.0000000,151.0000000,3.2800000,8.0000000,70000.0000000,14.0000000,10484250.0000000
FUTSTKGAIL25-JAN-2023,96.7000000,97.1000000,97.4500000,96.1000000,97.2500000,97.2500000,0.5600000,5826.0000000,14411250.0000000,1575.0000000,1394216152.5000000
FUTSTKPAGEIND23-FEB-2023,43384.8000000,43404.3500000,43531.0000000,42325.8000000,42472.2000000,42472.2000000,-2.1000000,78.0000000,855.0000000,57.0000000,36505937.2500000
FUTSTKSUNTV25-JAN-2023,489.6500000,492.2500000,492.5500000,485.5500000,490.4000000,490.4000000,0.1500000,5870.0000000,565500.0000000,377.0000000,276436725.0000000
FUTSTKHINDCOPPER23-FEB-2023,110.9000000,112.9000000,118.2500000,112.0000000,118.0000000,118.0000000,6.4000000,133.0000000,302400.0000000,63.0000000,35037120.0000000
FUTSTKDALBHARAT23-FEB-2023,1875.3500000,1887.1000000,1910.5000000,1887.1000000,1908.0000000,1908.0000000,1.7400000,14.0000000,2000.0000000,4.0000000,3804300.0000000
FUTSTKAPOLLOTYRE25-JAN-2023,326.5000000,326.7500000,330.9500000,326.1500000,330.1500000,330.1500000,1.1100000,3665.0000000,3384500.0000000,967.0000000,1113493325.0000000
FUTSTKTCS25-JAN-2023,3270.1500000,3270.7000000,3274.9000000,3242.1000000,3267.6500000,3267.6500000,-0.0700000,55388.0000000,1373925.0000000,7851.0000000,4480057741.2500000
FUTSTKCOROMANDEL25-JAN-2023,893.3500000,893.3500000,902.2500000,886.4000000,900.5500000,900.5500000,0.8000000,4463.0000000,534100.0000000,763.0000000,478167095.0000000
FUTSTKDIVISLAB25-JAN-2023,3427.3500000,3422.0000000,3426.5000000,3369.7000000,3391.8000000,3391.8000000,-1.0300000,17466.0000000,409200.0000000,2728.0000000,1387246350.0000000
FUTSTKHEROMOTOCO25-JAN-2023,2748.6000000,2746.3500000,2755.7000000,2717.0000000,2729.2000000,2729.2000000,-0.7000000,8007.0000000,454500.0000000,1515.0000000,1240446630.0000000
FUTSTKINDHOTEL29-MAR-2023,324.1000000,323.3500000,323.3500000,323.3500000,323.3500000,322.4000000,-0.5200000,3.0000000,2000.0000000,1.0000000,646700.0000000
FUTSTKPNB23-FEB-2023,57.1500000,57.4000000,58.2500000,56.9500000,57.9500000,57.9500000,1.3900000,594.0000000,6832000.0000000,427.0000000,395184800.0000000
FUTSTKBERGEPAINT25-JAN-2023,583.1500000,583.9500000,585.0000000,575.5000000,580.3000000,580.3000000,-0.4800000,5218.0000000,898700.0000000,817.0000000,519815835.0000000
FUTSTKSHREECEM25-JAN-2023,23188.2500000,22991.9500000,23325.0000000,22907.6000000,23256.7500000,23256.7500000,0.2900000,10493.0000000,43700.0000000,1748.0000000,1012878092.5000000
FUTSTKHDFCLIFE29-MAR-2023,578.0000000,576.7500000,580.5500000,576.7500000,580.5500000,579.6000000,0.2700000,5.0000000,2200.0000000,2.0000000,1273030.0000000
FUTSTKPERSISTENT29-MAR-2023,3937.1000000,3916.5500000,4005.0000000,3916.5500000,4005.0000000,4093.3500000,3.9600000,3.0000000,525.0000000,3.0000000,2071667.5000000
FUTSTKIDFCFIRSTB23-FEB-2023,59.5500000,59.5500000,62.2000000,59.3500000,61.9500000,61.9500000,4.0300000,438.0000000,6240000.0000000,416.0000000,381666000.0000000
FUTSTKRAMCOCEM23-FEB-2023,701.1500000,708.5000000,708.5000000,708.4000000,708.4000000,708.4000000,1.0300000,54.0000000,2550.0000000,3.0000000,1806505.0000000
FUTSTKINDUSINDBK25-JAN-2023,1226.2000000,1230.0000000,1237.2000000,1219.5000000,1234.7500000,1234.7500000,0.6900000,54174.0000000,3016350.0000000,6703.0000000,3706955932.5000000
FUTSTKSBILIFE23-FEB-2023,1248.1000000,1247.9000000,1251.3000000,1240.5500000,1248.0000000,1248.0000000,0.0000000,30.0000000,6750.0000000,9.0000000,8408850.0000000
FUTIDXNIFTY29-MAR-2023,18368.8500000,18378.0000000,18450.0000000,18336.8500000,18433.2000000,18433.2000000,0.3500000,1907.0000000,90200.0000000,1804.0000000,1660261097.5000000
FUTSTKSAIL23-FEB-2023,83.2000000,84.0000000,89.8000000,83.8500000,89.5500000,89.5500000,7.6300000,722.0000000,4440000.0000000,555.0000000,388752800.0000000
FUTSTKINDHOTEL25-JAN-2023,319.7000000,320.2500000,322.0000000,317.3500000,319.3000000,319.3000000,-0.1200000,12943.0000000,3228000.0000000,1614.0000000,1031533600.0000000
FUTSTKTATACONSUM23-FEB-2023,775.7500000,769.0500000,772.6500000,765.5000000,771.1000000,771.1000000,-0.5900000,85.0000000,23400.0000000,26.0000000,18013770.0000000
FUTIDXFINNIFTY31-JAN-2023,19068.0000000,19097.0500000,19194.5000000,19029.9000000,19168.8500000,19168.8500000,0.5200000,297.0000000,20280.0000000,507.0000000,388030652.0000000
FUTSTKMUTHOOTFIN29-MAR-2023,1050.0000000,1081.8000000,1081.8000000,1078.0000000,1080.5000000,1080.5000000,2.9000000,10.0000000,2200.0000000,4.0000000,2376165.0000000
FUTSTKFEDERALBNK29-MAR-2023,140.1000000,140.1000000,142.0000000,139.4000000,139.8500000,139.8500000,-0.1700000,12.0000000,75000.0000000,15.0000000,10566500.0000000
FUTIDXMIDCPNIFTY28-FEB-2023,7263.5000000,0.0000000,0.0000000,0.0000000,,7290.3500000,0.3600000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKLAURUSLABS25-JAN-2023,377.5000000,378.2500000,378.8500000,372.0000000,376.0000000,376.0000000,-0.3900000,8802.0000000,1125300.0000000,1023.0000000,421726635.0000000
FUTSTKJSWSTEEL23-FEB-2023,772.7000000,774.2000000,786.9500000,771.0000000,779.8000000,779.8000000,0.9100000,204.0000000,297000.0000000,220.0000000,231687945.0000000
FUTSTKINDUSINDBK23-FEB-2023,1231.1000000,1238.2500000,1241.9500000,1224.0500000,1240.2000000,1240.2000000,0.7300000,460.0000000,58950.0000000,131.0000000,72710752.5000000
FUTSTKIDFCFIRSTB25-JAN-2023,59.2000000,58.8000000,61.8500000,58.7500000,61.5500000,61.5500000,3.9600000,10159.0000000,86385000.0000000,5759.0000000,5264232000.0000000
