Symbol,FPI Category I,FPI Category II,FPI Category II Others
360ONE,11082500,7388500,3694000
ABB,2383875,1589250,794625
ABCAPITAL,36797000,24530300,12263600
ADANIENSOL,13136850,8758125,4378725
ADANIENT,14734974,9823419,4911555
ADANIGREEN,27844800,18562800,9281400
ADANIPORTS,25318450,16878650,8439325
ALKEM,2200250,1466750,733375
AMBER,977200,651400,325700
AMBUJACEM,23951550,15967350,7983150
ANGELONE,2901750,1934500,967250
APLAPOLLO,6920200,4613350,2306500
APOLLOHOSP,4657375,3104875,1552375
ASHOKLEY,127115000,84740000,42370000
ASIANPAINT,14816500,9877750,4938750
ASTRAL,5534775,3689850,1844925
AUBANK,25911000,17274000,8637000
AUROPHARMA,12593350,8395200,4197600
AXISBANK,88911250,59273750,29636875
BAJAJ-AUTO,4771950,3181275,1590600
BAJAJFINSV,19710250,13140250,6570000
BAJAJHLDNG,1620550,1080350,540150
BAJFINANCE,95257500,63504750,31752000
BANDHANBNK,43286400,28857600,14428800
BANKBARODA,83842200,55893825,27945450
BANKINDIA,54527200,36353200,18174000
BDL,4135950,2757300,1378650
BEL,160732875,107154300,53577150
BHARATFORG,12032000,8021500,4010500
BHARTIARTL,110125425,73416950,36708475
BHEL,57708000,38472000,19236000
BIOCON,27315000,18210000,9105000
BLUESTARCO,5163925,3442400,1721200
BOSCHLTD,264600,176400,88200
BPCL,91805900,61203275,30600650
BRITANNIA,4911250,3274125,1637000
BSE,18328125,12218625,6109125
CAMS,11136000,7424250,3711750
CANBK,151294500,100858500,50429250
CDSL,7994250,5329500,2664750
CGPOWER,30917900,20611650,10305400
CHOLAFIN,18976875,12651250,6325625
CIPLA,17788875,11859375,5929500
COALINDIA,83461050,55640250,27819450
COFORGE,15056625,10037625,5018625
COLPAL,5863725,3909150,1954575
CONCOR,15491250,10327500,5163750
CROMPTON,28974600,19315800,9657000
CUMMINSIND,5739200,3826200,1913000
DABUR,26961250,17973750,8986250
DALBHARAT,3727425,2484950,1242475
DELHIVERY,33633675,22422450,11211225
DIVISLAB,4469400,2979600,1489800
DIXON,1935650,1290400,645200
DLF,28817250,19210950,9605475
DMART,5625000,3750000,1875000
DRREDDY,27459375,18306250,9153125
EICHERMOT,5759700,3839800,1919900
ETERNAL,375392425,250260000,125130000
EXIDEIND,20656800,13770000,6885000
FEDERALBNK,96190000,64125000,32060000
FORTIS,23384850,15589900,7794950
GAIL,130706100,87138450,43567650
GLENMARK,6775500,4516875,2258250
GMRAIRPORT,160411050,106940700,53470350
GODREJCP,21609000,14406000,7203000
GODREJPROP,5179075,3452625,1726175
GRASIM,11551500,7701000,3850500
HAL,8535150,5690100,2845050
HAVELLS,10700000,7133500,3566500
HCLTECH,32057200,21371350,10685500
HDFCAMC,9177600,6118200,3059100
HDFCBANK,399208150,266138950,133069200
HDFCLIFE,38654000,25769700,12884300
HEROMOTOCO,5875950,3917250,1958550
HINDALCO,63652400,42434700,21217000
HINDPETRO,43179075,28785375,14391675
HINDUNILVR,27300300,18200100,9099900
HINDZINC,48374025,32249350,16124675
HUDCO,22519125,15012750,7506375
ICICIBANK,174180300,116120200,58060100
ICICIGI,8624200,5749575,2874625
ICICIPRULI,17623100,11748425,5873750
IDEA,3611131425,2407420950,1203710475
IDFCFIRSTB,281051050,187364275,93677500
IEX,40016250,26677500,13338750
INDHOTEL,39638000,26425000,13212000
INDIANB,15858000,10572000,5286000
INDIGO,10162350,6774900,3387450
INDUSINDBK,28142100,18761400,9380700
INDUSTOWER,58085600,38724300,19361300
INFY,110610800,73740400,36870000
INOXWIND,43411225,28939625,14468025
IOC,205466625,136977750,68488875
IRCTC,9751000,6500375,3249750
IREDA,35700600,23801550,11899050
IRFC,60286250,40188000,20094000
ITC,375720000,250480000,125240000
JINDALSTEL,14476875,9651250,4825625
JIOFIN,106605400,71071050,35534350
JSWENERGY,24115000,16077000,8038000
JSWSTEEL,40030200,26686800,13343400
